productname,reviewsrating,Likely_To_Recommend(%),Not_Likely_To_Recommend(%)
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",4,93.75,6.25
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",5,99.6241,0.3759
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",4,98.6842,1.3158
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",3,40,60
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",2,16.6667,83.3333
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Black",3,33.3333,66.6667
Amazon - Echo Plus w/ Built-In Hub - Silver,4,97.8947,2.1053
Amazon - Echo Plus w/ Built-In Hub - Silver,3,64.2857,35.7143
Amazon - Echo Plus w/ Built-In Hub - Silver,2,14.2857,85.7143
"Amazon - Kindle Voyage - 6"" - 4GB - Black",5,98.3333,1.6667
"Amazon - Kindle Voyage - 6"" - 4GB - Black",4,88.2353,11.7647
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",5,99.8405,0.1595
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",4,99.4186,0.5814
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",3,32.2581,67.7419
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",2,11.1111,88.8889
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",1,16.6667,83.3333
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",5,98.2143,1.7857
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",4,93.1034,6.8966
"Amazon Kindle E-Reader 6"" Wifi (8th Generation, 2016)",3,57.1429,42.8571
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,4,94.2308,5.7692
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,3,53.8462,46.1538
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,2,28.5714,71.4286
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",5,99.6764,0.3236
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",4,95.7265,4.2735
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",3,75,25
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",1,7.6923,92.3077
"Fire HD 10 Tablet, 10.1 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Silver Aluminum",3,33.3333,66.6667
"Fire HD 8 Tablet with Alexa, 8"" HD Display, 32 GB, Tangerine - with Special Offers",3,50,50
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",4,98.5612,1.4388
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",3,57.6923,42.3077
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Green Kid-Proof Case",3,63.6364,36.3636
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",5,99.1228,0.8772
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",4,97.2727,2.7273
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",3,78.9474,21.0526
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",2,50,50
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",5,97.1698,2.8302
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",4,97.619,2.381
"Kindle E-reader - White, 6 Glare-Free Touchscreen Display, Wi-Fi - Includes Special Offers",3,22.2222,77.7778
"Kindle Oasis E-reader with Leather Charging Cover - Black, 6"" High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers",5,97.1429,2.8571
